id,wkt,osm_id
FLD00046,"POLYGON((57.633528 -20.477380, 57.633600 -20.477382, 57.633639 -20.477351, 57.633955 -20.476363, 57.633930 -20.476297, 57.632889 -20.475994, 57.631951 -20.475745, 57.630736 -20.475397, 57.629798 -20.475157, 57.629693 -20.475154, 57.629643 -20.475204, 57.629382 -20.475921, 57.629339 -20.476120, 57.629357 -20.476253, 57.630495 -20.476585, 57.631423 -20.476796, 57.631562 -20.476782, 57.631716 -20.476759, 57.631811 -20.476759, 57.631897 -20.476799, 57.632023 -20.476907, 57.632208 -20.476997, 57.632356 -20.477061, 57.632601 -20.477134, 57.633528 -20.477380))",542310033
FLD00047,"POLYGON((57.633595 -20.477473, 57.633241 -20.478539, 57.633199 -20.478565, 57.632275 -20.478321, 57.630588 -20.477852, 57.629868 -20.477664, 57.629809 -20.477627, 57.629415 -20.476509, 57.629381 -20.476420, 57.629421 -20.476357, 57.629498 -20.476360, 57.631379 -20.476862, 57.632593 -20.477195, 57.633595 -20.477473))",542310034
FLD00048,"POLYGON((57.630159 -20.478884, 57.630025 -20.478474, 57.629762 -20.477701, 57.628893 -20.477474, 57.627967 -20.477208, 57.628006 -20.477267, 57.628681 -20.477934, 57.629228 -20.478547, 57.629390 -20.478737, 57.629655 -20.478808, 57.630108 -20.478907, 57.630159 -20.478884))",542310035
FLD00049,"POLYGON((57.632907 -20.479528, 57.632869 -20.479640, 57.632805 -20.479647, 57.631925 -20.479402, 57.630432 -20.478995, 57.630274 -20.478952, 57.630018 -20.478238, 57.629850 -20.477719, 57.629893 -20.477723, 57.631862 -20.478263, 57.633202 -20.478620, 57.632907 -20.479528))",542310036
FLD00050,"POLYGON((57.629413 -20.478825, 57.629506 -20.479070, 57.629587 -20.479355, 57.629629 -20.479594, 57.629634 -20.479841, 57.629605 -20.480031, 57.629519 -20.480178, 57.629461 -20.480302, 57.629466 -20.480532, 57.629480 -20.480783, 57.629523 -20.481013, 57.629575 -20.481202, 57.629618 -20.481237, 57.630245 -20.481386, 57.630348 -20.481401, 57.630377 -20.481359, 57.630356 -20.481285, 57.630320 -20.481087, 57.630300 -20.480431, 57.630281 -20.479636, 57.630219 -20.479061, 57.630194 -20.478990, 57.629512 -20.478820, 57.629422 -20.478814, 57.629413 -20.478825))",542310037
FLD00051,"POLYGON((57.647908 -20.481441, 57.647824 -20.481388, 57.647822 -20.481329, 57.648869 -20.479964, 57.648913 -20.479940, 57.649154 -20.480040, 57.649249 -20.480116, 57.649256 -20.480166, 57.648968 -20.480630, 57.648591 -20.481301, 57.648453 -20.481521, 57.648368 -20.481604, 57.648269 -20.481629, 57.647908 -20.481441))",542310039
FLD00052,"POLYGON((57.647739 -20.481344, 57.647690 -20.481349, 57.646994 -20.480953, 57.647707 -20.479855, 57.647970 -20.479448, 57.648009 -20.479411, 57.648057 -20.479430, 57.648665 -20.479783, 57.648807 -20.479880, 57.648830 -20.479920, 57.648379 -20.480521, 57.647739 -20.481344))",542310040
FLD00053,"POLYGON((57.646998 -20.481033, 57.646943 -20.481036, 57.646388 -20.481835, 57.645688 -20.482889, 57.645421 -20.483310, 57.645371 -20.483423, 57.645391 -20.483458, 57.645827 -20.483738, 57.645910 -20.483738, 57.646434 -20.483053, 57.646750 -20.482729, 57.647050 -20.482276, 57.647199 -20.482122, 57.647667 -20.481450, 57.647668 -20.481404, 57.647620 -20.481364, 57.646998 -20.481033))",542310041
FLD00054,"POLYGON((57.646223 -20.480585, 57.646178 -20.480547, 57.646135 -20.480546, 57.645485 -20.481479, 57.645160 -20.481984, 57.645013 -20.482174, 57.644655 -20.482703, 57.644518 -20.482913, 57.644835 -20.483102, 57.644922 -20.483123, 57.645304 -20.483388, 57.645832 -20.482595, 57.646864 -20.481050, 57.646881 -20.480981, 57.646853 -20.480949, 57.646223 -20.480585))",542310042
FLD00055,"POLYGON((57.644462 -20.482856, 57.643856 -20.482498, 57.643842 -20.482443, 57.644562 -20.481337, 57.645207 -20.480397, 57.645391 -20.480127, 57.645422 -20.480111, 57.645466 -20.480121, 57.646059 -20.480472, 57.646083 -20.480504, 57.645457 -20.481452, 57.644928 -20.482227, 57.644497 -20.482852, 57.644481 -20.482871, 57.644462 -20.482856))",542310043
FLD00056,"POLYGON((57.647214 -20.478988, 57.647160 -20.478992, 57.647086 -20.479063, 57.646544 -20.479890, 57.646192 -20.480436, 57.646177 -20.480475, 57.646209 -20.480508, 57.646890 -20.480898, 57.646931 -20.480913, 57.646982 -20.480876, 57.647607 -20.479895, 57.647930 -20.479418, 57.647943 -20.479372, 57.647214 -20.478988))",542310044
FLD00057,"POLYGON((57.646421 -20.478566, 57.646385 -20.478590, 57.645461 -20.479989, 57.645443 -20.480053, 57.645496 -20.480092, 57.646125 -20.480444, 57.647089 -20.478979, 57.647106 -20.478930, 57.647045 -20.478895, 57.646421 -20.478566))",542310045
FLD00058,"POLYGON((57.646119 -20.478381, 57.646023 -20.478444, 57.645682 -20.478997, 57.645596 -20.478974, 57.645502 -20.479014, 57.645406 -20.479168, 57.645342 -20.479142, 57.645055 -20.479504, 57.644797 -20.479359, 57.644156 -20.480080, 57.643676 -20.480638, 57.643303 -20.481014, 57.642992 -20.481321, 57.642831 -20.481512, 57.642758 -20.481615, 57.642756 -20.481708, 57.642834 -20.481801, 57.642914 -20.481881, 57.643729 -20.482411, 57.643771 -20.482420, 57.644046 -20.482031, 57.644137 -20.481850, 57.644601 -20.481168, 57.644813 -20.480827, 57.645434 -20.479880, 57.645972 -20.479036, 57.646221 -20.478681, 57.646306 -20.478546, 57.646298 -20.478499, 57.646262 -20.478470, 57.646119 -20.478381))",542310046
FLD00059,"POLYGON((57.642182 -20.481105, 57.642166 -20.481148, 57.642681 -20.481462, 57.642748 -20.481486, 57.643303 -20.480910, 57.643696 -20.480512, 57.644491 -20.479585, 57.644985 -20.479008, 57.644971 -20.478969, 57.644281 -20.478583, 57.644197 -20.478588, 57.644122 -20.478651, 57.643285 -20.479717, 57.642665 -20.480504, 57.642182 -20.481105))",542310047
FLD00060,"POLYGON((57.639502 -20.476765, 57.639463 -20.476772, 57.639148 -20.476589, 57.638868 -20.476449, 57.638731 -20.476370, 57.639673 -20.475214, 57.640326 -20.474415, 57.641138 -20.473353, 57.641247 -20.473380, 57.641822 -20.473598, 57.641947 -20.473641, 57.641255 -20.474524, 57.640629 -20.475322, 57.639933 -20.476224, 57.639502 -20.476765))",542310061
FLD00061,"POLYGON((57.639542 -20.476858, 57.639553 -20.476934, 57.639569 -20.476995, 57.639669 -20.477071, 57.639871 -20.477156, 57.639970 -20.477164, 57.640052 -20.477189, 57.640110 -20.477213, 57.640137 -20.477254, 57.640205 -20.477297, 57.640273 -20.477308, 57.641242 -20.476078, 57.642018 -20.475072, 57.642025 -20.475022, 57.642012 -20.474976, 57.641415 -20.474621, 57.641323 -20.474593, 57.641258 -20.474642, 57.640409 -20.475748, 57.639922 -20.476373, 57.639542 -20.476858))",542310063
FLD00062,"POLYGON((57.641332 -20.480635, 57.642064 -20.481127, 57.644786 -20.477698, 57.644092 -20.477301, 57.644051 -20.477289, 57.643935 -20.477411, 57.643393 -20.478077, 57.642769 -20.478871, 57.642292 -20.479464, 57.641690 -20.480213, 57.641332 -20.480635))",542310066
FLD00063,"POLYGON((57.642796 -20.477301, 57.641315 -20.479234, 57.641121 -20.479428, 57.640656 -20.479870, 57.640464 -20.480068, 57.640430 -20.480116, 57.640437 -20.480151, 57.640586 -20.480247, 57.641039 -20.480489, 57.641231 -20.480528, 57.641303 -20.480535, 57.642005 -20.479692, 57.642497 -20.479097, 57.643590 -20.477710, 57.642796 -20.477301))",542310069
FLD00064,"POLYGON((57.641947 -20.476840, 57.640628 -20.478508, 57.640357 -20.478832, 57.639993 -20.479154, 57.639662 -20.479454, 57.639552 -20.479575, 57.639532 -20.479606, 57.639557 -20.479632, 57.639644 -20.479684, 57.640228 -20.480029, 57.640308 -20.480076, 57.640365 -20.480077, 57.640965 -20.479487, 57.641227 -20.479248, 57.641590 -20.478777, 57.642740 -20.477278, 57.641947 -20.476840))",542310071
FLD00065,"POLYGON((57.641106 -20.476384, 57.640379 -20.477286, 57.640530 -20.477381, 57.640656 -20.477419, 57.640696 -20.477617, 57.640698 -20.477755, 57.640567 -20.477866, 57.640475 -20.477990, 57.640442 -20.478008, 57.640369 -20.477960, 57.640280 -20.477894, 57.640202 -20.477870, 57.640149 -20.477874, 57.640104 -20.477911, 57.640045 -20.477950, 57.640000 -20.477963, 57.639954 -20.477949, 57.639906 -20.477922, 57.639854 -20.477900, 57.639813 -20.477916, 57.639777 -20.477974, 57.639714 -20.478095, 57.639524 -20.478367, 57.639170 -20.478777, 57.638845 -20.479012, 57.638781 -20.479070, 57.638789 -20.479119, 57.638841 -20.479153, 57.639293 -20.479443, 57.639432 -20.479528, 57.639483 -20.479538, 57.640236 -20.478862, 57.640346 -20.478743, 57.640496 -20.478566, 57.641867 -20.476807, 57.641106 -20.476384))",542310074
FLD00066,"POLYGON((57.640876 -20.482975, 57.640815 -20.483061, 57.640803 -20.483125, 57.641293 -20.483467, 57.641432 -20.483533, 57.641510 -20.483547, 57.642231 -20.482370, 57.642471 -20.481957, 57.642612 -20.481735, 57.642635 -20.481668, 57.642534 -20.481542, 57.642176 -20.481335, 57.642091 -20.481318, 57.642006 -20.481404, 57.641424 -20.482213, 57.640876 -20.482975))",542310077
FLD00067,"POLYGON((57.641621 -20.483683, 57.641535 -20.483640, 57.641531 -20.483610, 57.641549 -20.483569, 57.642548 -20.481958, 57.642632 -20.481836, 57.642659 -20.481808, 57.642758 -20.481830, 57.642856 -20.481918, 57.643001 -20.482014, 57.643434 -20.482310, 57.643650 -20.482452, 57.643727 -20.482497, 57.643684 -20.482589, 57.643241 -20.483253, 57.642876 -20.483839, 57.642581 -20.484292, 57.642540 -20.484306, 57.642064 -20.483991, 57.641621 -20.483683))",542310080
